title,link
My Y Combinator Application Video that Got Us an Interview (in 2015),https://www.youtube.com/watch?v=kuLys6Wjp5U
Cleanly (YC W2023) Application Video,https://www.youtube.com/watch?v=BL9yhBOXbNU
TabikExpress - YC (W20) Application Video,https://www.youtube.com/watch?v=a1wsk4nMBao
inblog (YC S23) Application Video,https://www.youtube.com/watch?v=V7OxXL1mfRw
Immigrants Like Us YC S20 Application Video,https://www.youtube.com/watch?v=0zGAs1Qe1e8
Mys Tyler - Application to Y Combinator Winter 2021,https://www.youtube.com/watch?v=vsjDvX5dpus
Anaca (YC Winter 2020) Application Video,https://www.youtube.com/watch?v=txGB5pBCYv0
YC W24 Application Video (reached interview stage!),https://www.youtube.com/watch?v=yBnc8wl0A_g
FetchMi (YC S2018) Application Video,https://www.youtube.com/watch?v=wxyTupz3Kic
QBO Cabs - YC Application Video W2019,https://www.youtube.com/watch?v=waVjxb5B7xs
YC Winter 2020 Application Video,https://www.youtube.com/watch?v=0cHTAHMDydM
ListedB (YC W2024) Application Video,https://www.youtube.com/watch?v=oLiVmUlHNEg
YC Summer 2020 Application,https://www.youtube.com/watch?v=3BvUED-RgKo
Dedsimple - YC Winter 2018 Application,https://www.youtube.com/watch?v=1PNC1jH78p0
YC Application Summer 2019,https://www.youtube.com/watch?v=J46dOd3O-9M
id. (YC S2016) Application Video,https://www.youtube.com/watch?v=MLNIV_4GOnY
Merse (YC S24) Application Video [Accepted],https://www.youtube.com/watch?v=8UR4NMlxsDc
YC Application Summer 2023,https://www.youtube.com/watch?v=KlrTzn9nnVM
AutoMEP (for YC Winter 2020) Application Video,https://www.youtube.com/watch?v=qdBDyhNrbX8
Application to YC summer 2020,https://www.youtube.com/watch?v=gvl50kNKgSo
Y Combinator Winter 2013 Application Part 2 - Sri,https://www.youtube.com/watch?v=mWAjfFRC7cI
Dream Chaser Program (YC S21) Application Video,https://www.youtube.com/watch?v=2lLar-9m_4s
Swingo (YC 2019) Application Video,https://www.youtube.com/watch?v=7k8KtT0_7gU
Remembrall YC Application (W24) - Accepted,https://www.youtube.com/watch?v=VGXkghBFtL0
Airborne's Application Video for YC W22,https://www.youtube.com/watch?v=J6mKXaA0qrY
Canscr's Application Video for YC Winter 2023,https://www.youtube.com/watch?v=nfSmxEtq8Mc
Redkeep Clothing YC application Video W21,https://www.youtube.com/watch?v=IBSNYHYaP5Y
Hokart - Y Combinator Application Video (YC summer 2022),https://www.youtube.com/watch?v=qINbeTL-Ygw
Z Ski (YC W2022) Application Video,https://www.youtube.com/watch?v=TGKhpfSbM94
Midly Team YC summer 2022 application,https://www.youtube.com/watch?v=DUlXSNt7sVc
Y Combinator Application S18: Grubyr,https://www.youtube.com/watch?v=rijv7DGAyoo
Foodyours (YC S21) Application Video,https://www.youtube.com/watch?v=J9vLkvD3ctM
YC Summer 2017 - RiskBazaar application,https://www.youtube.com/watch?v=K6l2YO3Z7_Q
Sylus AI (YC W24) Application Video,https://www.youtube.com/watch?v=VHQj1FopZDs
YC Application Summer 2014 Verni,https://www.youtube.com/watch?v=VeQ7yfuEfek
YC Application Video GetWork for YC S20,https://www.youtube.com/watch?v=kSqhS6pLY_g
Mage (formerly Snapcardster) (YC W19) Application Video,https://www.youtube.com/watch?v=LC4i1OcAzzU
YC Summer 2021 Application,https://www.youtube.com/shorts/CrgEPZ_tkWE
Toastr YC Application Summer 2022,https://www.youtube.com/watch?v=GfH2WxW6tpY
YC 2013 Summer Application,https://www.youtube.com/watch?v=gppmU2mwxZA
YC application Video W21,https://www.youtube.com/watch?v=1z1lD-_CIm8
gloudio YC application video,https://www.youtube.com/watch?v=ypN1F1KxxWM
Litpen's YCombinator Application Video,https://www.youtube.com/watch?v=T1nB9XjYYG4
GrindIt's Application Video for YC S22,https://www.youtube.com/watch?v=vxE5gLADxGo
YC Summer 2017 application video,https://www.youtube.com/watch?v=2jy9MCd2lqE
YC Winter 2021 BBOOK Application Video,https://www.youtube.com/watch?v=iwp69z8vAVc
Prospify (YC W25) Application Video,https://www.youtube.com/watch?v=qRQfjKNu4vA
YC Summer 2020 Application Video - AstroLab Inc.,https://www.youtube.com/watch?v=eZ9b7LjHkeI
BarHop (YC W23) application video,https://www.youtube.com/watch?v=19kNOjtoGXM
AlgoBio (YC W2022) Application Video,https://www.youtube.com/watch?v=jQcZP8wUy9E
Y Combinator (YC S24) Application Video : VideoFast,https://www.youtube.com/watch?v=bITU4Kx7lXY
Farmako Healthcare | YC S20 | Application Video,https://www.youtube.com/watch?v=zBcg6gpinNI
Matuskii (YC W23) Application Video,https://www.youtube.com/watch?v=E63exbfezbk
Pollinate Y Combinator Summer 2021 Application Video,https://www.youtube.com/watch?v=_J-14bAeQ7E
YC Summer 2016 Application - brainswole,https://www.youtube.com/watch?v=F7J0owWBfOs
Ran Cidba Con ~ Y Combinator Summer 2010 application support video,https://www.youtube.com/watch?v=pXOU6dgYLg8
CurveCatch (YC S22) Application Video,https://www.youtube.com/watch?v=mbVrlCKYx0Y
ReVolt YC S24 Application,https://www.youtube.com/watch?v=R6mArwEhm_k
YC S2023 Application Video (SimpL),https://www.youtube.com/watch?v=pNWMpXB2fbE
Coosta YC W18 application,https://www.youtube.com/watch?v=u21kXm7Oykg
Y Combinator video application,https://www.youtube.com/watch?v=ApKNz7tQoBw
OpenPass (YC Winter 2022) Application Video,https://www.youtube.com/watch?v=DwlIPDXLonQ
Reframed - YC Winter 2023 application,https://www.youtube.com/watch?v=uPkoowR7-B0
Reach Best YC S23 Application Video,https://www.youtube.com/watch?v=J_SGQHYdLqQ
Successful Founder Introduction for Y Combinator Application: Hugecity,https://www.youtube.com/watch?v=kZYaE8xg4cM
Aiero (YC W2023) Application Video,https://www.youtube.com/watch?v=G9FNj3sOCRg
Cashestate YC Application Video S19,https://www.youtube.com/watch?v=0TrmEECk_jA
PAKKE (YC W19) Application Video,https://www.youtube.com/watch?v=f0IihY7_uWE
